rank,bgg_url,game_id,name,min_players,max_players,gameplay_time,min_time,max_time,release_year,num_votes,image_url,age,mechanic,sales_last_month_thousands,category,designer,weight
4917,https://boardgamegeek.com/boardgame/7989/spooks,7989,Spooks,3,6,10,10,10,2003,342,https://cf.geekdo-images.com/images/pic33318.jpg,12,"Hand Management, Trick-taking",6.664009,"Card Game, Horror",Jason Wittman,1.5172
4170,https://boardgamegeek.com/boardgame/171037/doctor-panic,171037,Doctor Panic,2,9,12,12,12,2016,211,https://cf.geekdo-images.com/images/pic2851037.jpg,7,Co-operative Play,7.115284,"Action / Dexterity, Electronic, Humor, Medical, Party Game, Real-time",Roberto Fraga,1
4110,https://boardgamegeek.com/boardgame/203828/13-minutes-cuban-missile-crisis,203828,13 Minutes: The Cuban Missile Crisis,2,2,13,13,13,2017,114,https://cf.geekdo-images.com/images/pic3544548.jpg,10,"Area Control / Area Influence, Campaign / Battle Card Driven, Hand Management",7.853714,"Card Game, Political","Asger Harding Granerud, Daniel Skjold Pedersen",2
4438,https://boardgamegeek.com/boardgame/68199/catchup,68199,Catchup,2,2,13,13,13,2010,85,https://cf.geekdo-images.com/images/pic1129376.jpg,10,"Area Control / Area Influence, Tile Placement",8.4238,"Abstract Strategy, Print & Play",Nick Bentley,2.8
32,https://boardgamegeek.com/boardgame/178900/codenames,178900,Codenames,2,8,15,15,15,2015,30757,https://cf.geekdo-images.com/images/pic2582929.jpg,14,"Memory, Partnerships, Pattern Recognition, Press Your Luck",9.470796,"Card Game, Deduction, Party Game, Spies/Secret Agents, Word Game",Vlaada Chvˆtil,1.3679
287,https://boardgamegeek.com/boardgame/166384/spyfall,166384,Spyfall,3,8,15,15,15,2014,10656,https://cf.geekdo-images.com/images/pic2453926.jpg,12,"Role Playing, Voting",8.635824,"Bluffing, Deduction, Humor, Party Game, Spies/Secret Agents",Alexandr Ushan,1.2896
302,https://boardgamegeek.com/boardgame/133473/sushi-go,133473,Sushi Go!,2,5,15,15,15,2013,18043,https://cf.geekdo-images.com/images/pic1900075.jpg,8,"Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection",8.575536,Card Game,Phil Walker-Harding,1.1671
321,https://boardgamegeek.com/boardgame/131357/coup,131357,Coup,2,6,15,15,15,2012,21155,https://cf.geekdo-images.com/images/pic2016054.jpg,9,"Memory, Player Elimination, Take That, Variable Player Powers",8.545644,"Bluffing, Card Game, Deduction, Party Game, Political",Rikki Tahta,1.4421
430,https://boardgamegeek.com/boardgame/156336/onirim-second-edition,156336,Onirim (second edition),1,2,15,15,15,2014,3137,https://cf.geekdo-images.com/images/pic2257657.png,14,"Card Drafting, Co-operative Play, Hand Management, Set Collection",8.088707,"Card Game, Exploration, Fantasy",Shadi Torbey,1.6311
438,https://boardgamegeek.com/boardgame/143741/bang-dice-game,143741,BANG! The Dice Game,3,8,15,15,15,2013,10796,https://cf.geekdo-images.com/images/pic2909713.jpg,8,"Dice Rolling, Partnerships, Player Elimination, Press Your Luck, Variable Player Powers",7.02824,"American West, Bluffing, Deduction, Dice, Fighting, Party Game","Michael Palm, Lukas Zach",1.2975
